Map_Con_1,Map_Con_2,Map_Con_3,Map_Con_4,Attack_Type
0.4, 0.3, 6.4, 0.6, Dynamic
1.0, 0.8, 4.6, 0.0, Dynamic
1.4, 0.6, 3.6, 0.9, Dynamic
0.1, 0.0, 5.0, 1.3, Dynamic
0.1, 0.0, 3.0, 0.5, Dynamic
0.1, 0.0, 5.0, 1.3, Dynamic
1.5, 0.7, 3.2, 0.3, Dynamic
0.0, 0.1, 4.2, 0.4, Dynamic
0.1, 0.0, 4.9, 0.5, Dynamic
1.3, 0.5, 4.4, 0.9, Dynamic
0.1, 0.0, 6.2, 1.2, Dynamic
0.6, 0.2, 3.7, 1.0, Dynamic
0.5, 0.1, 5.9, 0.8, Dynamic
0.1, 0.0, 6.2, 1.2, Dynamic
1.8, 1.2, 5.2, 0.8, Dynamic
0.8, 0.2, 3.1, 0.0, Dynamic
0.2, 0.1, 2.0, 0.6, Dynamic
1.8, 1.2, 5.2, 0.8, Dynamic
1.2, 0.7, 6.5, 1.4, Dynamic
0.1, 0.2, 2.8, 0.0, Dynamic
0.9, 0.7, 3.2, 0.9, Dynamic
0.7, 0.3, 4.0, 1.0, Dynamic
0.1, 0.0, 2.5, 0.7, Dynamic
0.1, 0.0, 3.0, 0.5, Dynamic
0.8, 0.4, 2.7, 0.4, Dynamic
0.6, 0.2, 3.7, 1.0, Dynamic
0.5, 0.1, 5.9, 0.8, Dynamic
0.4, 0.3, 4.6, 0.6, Dynamic
0.1, 0.0, 3.6, 0.6, Dynamic
0.0, 0.1, 3.0, 0.5, Dynamic
1.6, 0.7, 2.6, 0.2, Dynamic
1.3, 0.6, 3.5, 0.9, Dynamic
0.1, 0.0, 3.0, 0.5, Dynamic
0.7, 0.3, 4.0, 1.0, Dynamic
1.0, 0.8, 2.8, 0.3, Dynamic
0.1, 0.0, 5.0, 1.3, Dynamic
0.1, 0.2, 4.1, 0.0, Dynamic
1.5, 0.6, 4.2, 0.3, Dynamic
0.1, 0.0, 5.0, 1.3, Dynamic
1.6, 0.7, 2.3, 0.4, Dynamic
1.3, 0.9, 9.9, 1.9, Dynamic
0.4, 0.1, 8.3, 0.7, Dynamic
0.8, 0.4, 3.7, 0.4, Dynamic
0.5, 0.3, 9.1, 0.9, Dynamic
0.1, 0.2, 2.8, 0.0, Dynamic
0.8, 0.5, 11.2, 0.4, Dynamic
0.7, 0.2, 5.5, 0.0, Dynamic
1.7, 1.1, 7.3, 0.8, Dynamic
0.4, 0.1, 9.6, 1.0, Dynamic
1.6, 0.7, 2.3, 0.4, Dynamic
0.1, 0.0, 6.2, 1.2, Dynamic
0.5, 0.3, 7.0, 1.8, Dynamic
0.8, 0.7, 4.0, 0.5, Dynamic
1.2, 0.9, 8.3, 1.2, Dynamic
0.0, 0.1, 5.5, 0.7, Dynamic
0.4, 0.3, 4.6, 0.6, Dynamic
1.3, 0.8, 4.8, 0.9, Dynamic
1.3, 0.7, 5.8, 0.9, Dynamic
0.1, 0.2, 4.1, 0.0, Dynamic
3.4, 1.6, 9.4, 0.5, Dynamic
0.4, 0.2, 11.8, 1.9, Dynamic
1.2, 0.7, 6.1, 1.6, Dynamic
2.6, 1.1, 7.7, 0.7, Dynamic
0.6, 0.3, 4.6, 1.2, Dynamic
0.1, 0.0, 3.0, 0.5, Dynamic
0.1, 0.0, 3.0, 0.5, Dynamic
1.8, 0.8, 1.8, 0.3, Dynamic
0.5, 0.3, 2.9, 0.5, Dynamic
